rt,trial_type,trial_index,time_elapsed,responses,key_press,is_stimulus,stimulus,stimulus_block,stimulus_side,time_post_trial,subject,is_fullscreen,trial_began,os,browser,mobile,flash,cookies,screen_size,block,sub_block
860.7,bRMS,287,1472085,,P,,,,0,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
818.3000002,bRMS,288,1473365,,Q,,,,1,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
662.3000002,bRMS,289,1474485,,P,,,,0,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
1478.8,bRMS,290,1476421,,Q,,,,1,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
708.3000002,bRMS,291,1477589,,Q,,,,1,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
812.8,bRMS,292,1478869,,Q,,,,1,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
796.5,bRMS,293,1480133,,Q,,,,1,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
790.8,bRMS,294,1481381,,Q,,,,1,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
1000.7,bRMS,295,1482838,,Q,,,,1,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
821.0999999,bRMS,296,1484116,,Q,,,,1,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
2149.4,bRMS,297,1486725,,Q,,,,1,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
1273,bRMS,298,1488469,,Q,,,,1,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
1093.9,bRMS,299,1490021,,P,,,,0,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
1149.4,bRMS,300,1491638,,P,,,,0,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
1098.4,bRMS,301,1493205,,P,,,,0,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
1004.4,bRMS,302,1494677,,P,,,,0,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
1472.2,bRMS,303,1496614,,Q,,,,1,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
1027.6,bRMS,304,1498101,,P,,,,0,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
920.7,bRMS,305,1499492,,P,,,,0,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
944,bRMS,306,1500900,,Q,,,,1,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
1029.3,bRMS,307,1502389,,P,,,,0,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
1101.5,bRMS,308,1503957,,Q,,,,1,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
842.3,bRMS,309,1505270,,Q,,,,1,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
1365.9,bRMS,310,1507092,,Q,,,,1,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
1005.3,bRMS,311,1508565,,P,,,,0,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
